id,gid,name,type,comment,edits_pending,last_updated,language
12431315,086b3f97-cfd3-4f44-964c-2efb29aa602e,夕顔,\N,,0,2011-07-19 09:00:12.263903+00,\N
12433734,0b8b03b7-3a58-4c0c-af1f-281dcc8cadc0,18,17,,0,2011-08-03 05:52:36.552527+00,\N
12433226,993a0c77-320b-43de-a7d0-035e2f5da3da,Burning in Hell,17,,0,2011-07-22 03:05:24.051848+00,\N
12433234,5289cc34-b110-4086-a72c-99c9cd1e8bd0,Uses of Music in Uttermost Parts,\N,,0,2011-07-22 08:05:44.517912+00,\N
12433277,ed0139d4-ca96-4b18-be57-bda3789776e3,The Narcotic Suite: 3 Kilos,17,,0,2011-07-23 08:22:01.904385+00,\N
12431949,39eb4070-7f9f-4a12-a6a1-6348a910113d,Το σ' αγαπώ δεν το λέω σε κανένα (Το σ' αγαπώ το κρατάω για σένα),17,,0,2012-05-24 16:30:38.113317+00,159
12434000,e47a5bf0-c5fe-4110-be5c-91f687e4b742,Γυρίζω τις πλάτες μου στο μέλλον,17,,0,2012-06-01 14:52:45.166055+00,159
10270017,f9f80f36-9530-3e30-950a-e3acee1308ee,Heart Attack Man,\N,,0,2011-07-24 06:02:24.326981+00,\N
12433299,1c48c705-ae7a-43d7-9dd7-ea1b9d16ab98,6 Foot 7 Foot,17,,0,2011-07-24 11:15:14.768154+00,\N
12433380,8cb5603c-71c8-4083-84e3-65390f60e0d2,月光,17,,0,2011-07-25 14:14:13.720048+00,\N
12433381,fd7a31ab-8863-4f96-ba5e-fdae9973815f,Sowing Season,17,,0,2011-07-25 16:39:25.756159+00,\N
12432253,7f8ce20a-d993-4add-8166-2da3b46fb9bf,Propeller Seeds,17,,0,2011-07-26 17:00:10.7853+00,\N
12433437,9cf744c9-5745-4a2c-98b0-4b47d55d37bb,Sister Kate,\N,,0,2011-07-27 13:10:53.582798+00,\N
12433419,d69ea744-0550-4c25-84e4-14c0073199df,I hear you everywhere,17,,0,2011-07-27 13:25:01.038572+00,\N
12433438,9979a7ee-06fd-4053-82ae-8e6ab165d30d,InsEPto,17,,0,2011-07-27 17:21:16.349886+00,\N
12781169,68ce2a2d-655c-4415-8e9f-d737d5b8a7e2,Песня леди Джейн,17,,0,2014-11-17 22:32:37.493958+00,\N
12433584,705a3a02-fdbc-4a7a-9781-160a950268e0,Los amos del desorden,\N,,0,2011-07-30 18:51:35.267294+00,\N
12433245,cea28445-4cf2-46af-80be-c85ffea351fc,Στην υπόγα,17,,0,2012-06-24 17:45:14.95213+00,159
12433602,67396909-2477-4695-9ee2-594727d06c42,Too Hot,17,,0,2011-07-31 15:58:45.674753+00,\N
12432147,58390776-fa20-4639-b24e-a5a0a10d0625,When the Laughter Is Over,17,,0,2012-07-07 08:03:59.758927+00,120
12433651,7c1b472a-6a6f-4694-841d-0e8f821186aa,Trust,17,,0,2011-08-01 10:54:05.46018+00,\N
12431964,021b40d3-5a16-4644-adc2-a8d67844fd1c,Kölyköd voltam,17,,0,2012-10-08 17:12:29.069643+00,176
12432360,93343c37-239e-441f-9ccd-9ca49e4b688c,Az utolsó magyar playboy 1.,17,,0,2012-10-08 17:21:30.163173+00,176
12431388,d1e3da69-c0eb-4835-9225-2c8ae9b882c6,"Lamentatio Jeremiae prophetae, op. 93: 4. In Parasceve - Lectio Prima",9,,0,2011-08-03 08:00:06.214093+00,\N
12433483,ec665021-cfc5-47f0-ab31-c00e4e4fdb1d,Satisfaction,17,,0,2012-10-15 05:31:08.795142+00,120
12840020,68840fcf-c3c6-43e4-a4ea-be809f56d741,L’Enterrement de Paul Fort,17,,0,2015-05-18 20:19:33.17491+00,134
8412664,2018cacc-6f21-329c-a3a4-6c27ad0f470c,Now I Know,\N,,0,2011-08-05 10:00:54.668827+00,\N
7684968,de2bf13e-d632-3a06-84a4-612f6049502a,Snow,\N,,0,2011-08-05 10:01:19.55822+00,\N
12433863,a5134a55-fde8-4163-82eb-c564923280c8,Bring Back My Happiness,17,,0,2011-08-06 06:30:14.774836+00,\N
12432463,866c3ea0-163d-4daa-b2f0-e1af3700810d,Eumenides,17,,0,2011-08-21 06:00:07.727387+00,\N
12433963,c266612c-d67e-4e30-84a3-e0f5f52a11d6,Skeleton Swoon,17,,0,2011-08-08 06:26:16.167017+00,\N
12433965,34763db8-d146-4085-b469-528ceb48901b,現代人諸君!!,\N,,0,2011-08-08 03:00:20.496551+00,\N
12433432,7527775c-5e47-4fc5-ae16-8a99eadd1ada,218 Beverly,17,,0,2011-08-08 06:07:06.221416+00,\N
12433953,d24a2e4a-cbb1-41ca-9315-45393e1f4f4d,JUMP,17,,0,2011-10-05 20:32:10.968006+00,\N
12431316,4493a347-32e7-4759-bffb-3218e3e1d54a,愛のままにわがままに 僕は君だけを傷つけない,\N,,0,2011-06-30 14:08:44.787959+00,\N
12431435,06100979-7a41-4aed-8bbd-b48475f0bdc3,What the Birds Overheard,\N,,0,2011-07-02 15:34:06.527971+00,\N
12433550,a5529a72-b98f-4974-a1f2-29a15f25d062,E.T.: Main Theme,\N,,0,2013-04-12 22:00:44.849736+00,\N
12477166,7d585c82-1da2-41c2-9d24-19ecdb6a30f6,Twisted Streets,\N,Bastion,0,2014-01-07 00:00:37.912843+00,486
12688739,6200375e-4ed9-4afc-b77a-7fc3e6563479,CHIC Ago,\N,,0,2014-01-06 21:47:40.87988+00,\N
12477178,fe87a9b0-274f-412c-a869-6e2b959ebe05,The Bottom Feeders,\N,Bastion,0,2014-01-07 00:00:38.091455+00,486
8204258,b9008b71-dbc5-30a9-989d-2bf50d8f7a33,Early in the Morning,17,,0,2013-01-22 15:31:43.479221+00,120
12433176,fd895592-baf4-481e-83eb-a3410cd2cf70,"Chanson villageoise, op. 62 no. 2",\N,,0,2013-01-30 00:40:54.496726+00,\N
12432897,38697076-780a-4742-b3b2-06b79a522741,Bulls on Parade,\N,,0,2013-01-30 16:51:22.373172+00,120
12477172,3d6da7cd-c19d-49ac-988a-a52406337c70,Slinger’s Song,\N,Bastion,0,2014-01-07 00:00:38.193126+00,486
10298345,dfa67875-9aff-3514-990e-d9a0e9d1195e,"String Quartet no. 8 in C minor, op. 110: V. Largo",\N,,0,2013-12-27 13:43:51.17457+00,486
12431452,d4b4926a-3033-4890-8cb3-dccc371ceeb3,Precious,17,,0,2014-08-06 23:57:24.931268+00,\N
12433834,5dd3e5e5-b1f7-4f22-998b-889117c94e2b,NO‐NO‐YEAH / GO‐GO‐YEAH,17,,0,2014-06-28 18:00:17.772843+00,198
12431448,15b33263-bff1-4dfa-8214-af87e8bcfcf8,大好きだよ,17,,0,2014-08-10 13:08:01.56578+00,\N
12431447,64d06aba-6a7e-4de9-9514-6eb588901049,月影とブランコ,\N,,0,2014-08-10 15:31:49.694925+00,\N
12432252,ccc4c1e3-2cb7-48ae-8ef8-be9af4645f7f,六等星の夜,17,,0,2014-09-30 06:01:33.733327+00,198
12787888,cb121ef9-3f47-4e7e-969b-00d922931836,All Masters' RAP,\N,PaRappa the Rapper,0,2014-12-18 05:42:53.701562+00,\N
12790291,aaf380f4-77ef-495c-9f94-4da93a096b57,La Nuit,17,,0,2014-12-29 21:46:26.327459+00,134
12843272,c5c88853-1fc6-4255-b380-c4f573876087,Watch You Bleed,17,,0,2015-06-01 01:58:04.219098+00,120
11453376,f119489c-fb29-3af1-b4c7-0068a166357d,Mirage,\N,,0,2015-04-19 07:29:17.180103+00,486
11453380,49a1eccc-9eaa-335d-a379-d5fa2a6ac1be,Full Focus,\N,,0,2015-04-19 07:30:52.638867+00,486
11453388,53d86d0c-4cd3-3aba-b789-6dfebc67297e,Orbion,\N,,0,2015-04-19 07:34:45.367589+00,486
12433548,e10584e6-37d3-4337-8e3a-f555afd2aa8e,Hate That I Love You,17,,0,2013-01-30 22:49:21.8287+00,120
12432065,ae789d06-4a53-4264-9908-a1d74b743235,stone cold,17,,0,2016-09-02 06:00:25.728002+00,198
12433673,e25837f8-a845-405a-ba22-9d7e8372ae30,Born on the Fourth of July,\N,,0,2013-04-07 20:00:45.936751+00,\N
5542883,bac17ce0-c3ad-3919-9023-0b60e7a8d6a7,The Becoming,17,,0,2013-04-07 18:46:44.065545+00,120
12781170,0fe028bc-9fed-4df9-8cc8-32524700c3b7,Драконография,17,,0,2014-11-17 22:32:37.493958+00,\N
3976124,0c1809fd-90ff-3df5-afc0-ea70d4a103f1,(Die Frau hat) Rhythmus,17,,0,2011-07-05 11:06:41.27255+00,\N
12431608,943af694-fb82-4d2a-951b-8fdcd0ac5976,Varjud valgusvihus,\N,,0,2011-07-05 17:04:04.895205+00,\N
11541669,c0caf86d-39e1-37ca-be50-e89a854a7e66,Oui mais... Non,\N,,0,2011-07-09 08:02:32.212082+00,\N
12432078,067ddb08-1844-4448-b0e2-9f25ed5cbf9c,LDN,17,,0,2011-07-10 09:03:33.688335+00,\N
12432148,24bdfc8b-de7b-4567-8ea1-884be7c4c489,Love Won't Let You Down,17,,0,2011-07-11 10:57:17.611665+00,\N
12432465,be1f58e8-509f-466e-9a58-ff414a1d0f2b,Enjoy Yourself,\N,,0,2011-07-15 03:49:09.759892+00,\N
12432527,91db867b-df62-4efc-9034-aec349e1c579,Money,17,Pantychrist,0,2011-07-16 03:15:55.878542+00,\N
12482838,1d3fc919-0568-457c-a8b0-be75654e572a,TWO ROSES,17,,0,2012-04-09 07:16:14.607505+00,\N
12433104,1ef15d01-3ed3-408d-af3e-8246b1639048,Coast of Marseilles,17,,0,2011-07-20 02:41:40.771994+00,\N
12840021,09f06e75-1467-4e8d-9b9f-3e379bc0f48d,Le Gant,17,,0,2015-05-18 20:21:24.920602+00,134
12432139,ada035b7-8829-4219-a8eb-8b913df1dc65,Out in the Twilight,17,,0,2012-08-08 06:58:19.752443+00,120
12433235,e339fc80-0fde-4c19-bce5-19f653545094,Uses of Music in Uttermost Parts: VIII. Island Earth,\N,,0,2011-07-22 08:09:23.010663+00,\N
